"Estado","year","gdp","gdp_mp","gdp_smp","gov","deflator","pop","gov_real","govpc","gdppc","gdppc_smp","gdppc_mp"
"Morelos",2022,260102.03,0,260102.03,14181.989441,122.117521343451,1985066,11613.3944457599,5850.38202546409,131029.411616541,131029.411616541,0
"Morelos",2023,265593.143,0,265593.143,15157.901854,127.120185102068,1975714,11924.0715719768,6035.32270965171,134428.94214446,134428.94214446,0
"Nayarit",2005,135701.452,0,135701.452,2794.62,50.941250798112,1004165,5485.96659134953,5463.21231206976,135138.599732116,135138.599732116,0
"Nayarit",2006,135896.556,0,135896.556,3193.705,53.31381098429,1023273,5990.38962144554,5854.14607973194,132805.767375862,132805.767375862,0
"Nayarit",2007,133768.031,0,133768.031,3319.053,56.490753758647,1041191,5875.39159803113,5642.95273204544,128475.977030151,128475.977030151,0
"Nayarit",2008,143531.322,0,143531.322,4138.493,59.721198694178,1057904,6929.68843641688,6550.39439912967,135675.186028222,135675.186028222,0
"Nayarit",2009,134902.594,0,134902.594,3943.764,64.239059776716,1074933,6139.19944299909,5711.23915909093,125498.606889918,125498.606889918,0
"Nayarit",2010,137487.191,0,137487.191,4456.299072,67.877402484716,1091097,6565.21744921431,6017.07955316008,126008.220167409,126008.220167409,0
"Nayarit",2011,141214.937,0,141214.937,4778.597695,71.121266725488,1105993,6718.943453924,6075.03253087858,127681.582975661,127681.582975661,0
"Nayarit",2012,142897.855,0,142897.855,4953.083577,73.859013489041,1121059,6706.13286452157,5981.96246988033,127466.846080358,127466.846080358,0
"Nayarit",2013,145073.201,0,145073.201,5336.010903,76.032315575638,1136330,7018.0828541144,6176.0957240541,127668.195858597,127668.195858597,0
"Nayarit",2014,145894.418,0,145894.418,5878.8003677,79.179012181261,1151456,7424.69526424745,6448.09290519781,126704.292652086,126704.292652086,0
"Nayarit",2015,147428.811,0,147428.811,6289.4372638,83.209249377993,1166866,7558.57949785017,6477.67566957146,126345.965175093,126345.965175093,0
"Nayarit",2016,152585.941,0,152585.941,6948.8346218,88.557697461787,1182373,7846.67490344185,6636.37862454729,129050.596554556,129050.596554556,0
"Nayarit",2017,155110.355,0,155110.355,7804.9955077,94.227930172683,1198105,8283.10193527173,6913.50251878736,129463.072936011,129463.072936011,0
"Nayarit",2018,155757.538,0,155757.538,7981.1333255,100,1223425,7981.1333255,6523.59836156691,127312.698367289,127312.698367289,0
"Nayarit",2019,157163.253,0,157163.253,8886.6263541,104.490062953838,1234500,8504.75739307954,6889.23239617622,127309.236938032,127309.236938032,0
"Nayarit",2020,142605.244,0,142605.244,7904.296465,108.844923683171,1239879,7261.97988618014,5857.00692259498,115015.452314298,115015.452314298,0
"Nayarit",2021,155968.659,0,155968.659,8306.5651,116.199662907918,1253058,7148.52770836565,5704.86578304089,124470.422757765,124470.422757765,0
"Nayarit",2022,162583.92,0,162583.92,10238.835551,126.521067397071,1248068,8092.59340096038,6484.09654038112,130268.478961082,130268.478961082,0
"Nayarit",2023,162750.269,0,162750.269,11641.047763,134.488942073577,1275680,8655.76573323876,6785.2170867606,127579.227549229,127579.227549229,0
"Nuevo León",2005,1368861.991,7758.015,1361103.976,13252.058,52.359848670822,4359938,25309.5804063789,5805.03218311336,313963.636868231,312184.250326496,1779.38654173523
"Nuevo León",2006,1469583.898,7088.328,1462495.57,15505.167,55.17713225516,4438458,28100.7119549059,6331.18798350822,331102.355367562,329505.330454856,1597.02491270617
"Nuevo León",2007,1532409.515,6959.759,1525449.756,16157.852,58.430819714664,4433549,27652.9613633761,6237.20666296372,345639.467388316,344069.673302359,1569.79408595687
"Nuevo León",2008,1531655.04,7154.726,1524500.314,20563.957,61.227694324696,4517405,33586.038518693,7434.80793036998,339056.391888706,337472.578615378,1583.81327332838
"Nuevo León",2009,1411038.652,9109.167,1401929.485,17976.01,65.429748199414,4602880,27473.7569602339,5968.81886128551,306555.602579255,304576.587918868,1979.01466038654
"Nuevo León",2010,1509564.271,9039.9,1500524.371,20436.563657,67.891171822786,4693739,30101.9456702631,6413.21250931572,321612.316108757,319686.367520648,1925.94858810854
"Nuevo León",2011,1558834.995,8590.984,1550244.011,22504.024581,69.849358879706,4791807,32217.9400669321,6723.5471017368,325312.558498287,323519.709996667,1792.84850161954
"Nuevo León",2012,1621930.271,7784.498,1614145.773,22411.12557,73.133190569818,4891967,30644.2606911903,6264.20020641804,331549.716300212,329958.434511108,1591.28178910446
"Nuevo León",2013,1611568.788,7615.583,1603953.205,23942.882661,74.645461984462,4994172,32075.4698604235,6422.58013148596,322689.884929874,321164.990913409,1524.89401646559
"Nuevo León",2014,1666974.701,7474.327,1659500.374,26829.460464,78.33277572939,5096661,34250.6188682571,6720.20738052955,327071.920420055,325605.405970693,1466.51444936204
"Nuevo León",2015,1728163.992,6837.149,1721326.843,28929.470466,83.311810375922,5200722,34724.3330032844,6676.829294718,332293.091613049,330978.437801521,1314.65381152848
"Nuevo León",2016,1743960.883,4685.858,1739275.025,33692.728302,89.142725399077,5306982,37796.3856850498,7122.01128344694,328616.317711272,327733.356736465,882.960974806397
"Nuevo León",2017,1809343.556,3873.756,1805469.8,36196.898425,94.634831031504,5415319,38249.0231455583,7063.11542229707,334115.784499491,333400.451570812,715.332928678809
"Nuevo León",2018,1909026.435,3903.246,1905123.189,39326.113168,100,5520803,39326.113168,7123.25963596238,345787.820177608,345080.813244015,707.006933592813
"Nuevo León",2019,1918825.006,3300.569,1915524.437,42097.391661,103.731793351457,5716805,40582.9209164142,7098.88144101718,335646.397944306,335069.0529063,577.345038006369
"Nuevo León",2020,1743165.623,2915.412,1740250.211,40317.061543,109.133077540045,5885321,36943.0263049314,6277.14721166975,296188.707973618,295693.337882505,495.370091113127
"Nuevo León",2021,1865875.274,2858.493,1863016.781,46629.97245,114.323632652415,6014987,40787.6931200847,6781.01101799301,310204.373509037,309729.145050521,475.228458515372
"Nuevo León",2022,1928648.573,2815.164,1925833.409,54684.902288,121.506257584025,6009420,45005.8321071932,7489.21395196096,320937.556869049,320469.098348926,468.458520123406
"Nuevo León",2023,1995054.68,2812.593,1992242.087,62148.951797,125.451333193534,6092924,49540.2880263717,8130.7904097231,327437.972310175,326976.356015601,461.616294573837
"Oaxaca",2005,376461.041,0,376461.041,7002.547,41.011862366922,3750502,17074.4428461944,4552.57532090221,100376.173909519,100376.173909519,0
"Oaxaca",2006,380271.447,0,380271.447,7886.862,49.544284875009,3759246,15918.8128759898,4234.575996354,101156.308206486,101156.308206486,0
"Oaxaca",2007,378474.41,0,378474.41,7954.734,50.291361838704,3707691,15817.2968660357,4266.07742285851,102078.196376127,102078.196376127,0
"Oaxaca",2008,388520.309,0,388520.309,10560.501,53.804206152837,3743905,19627.6495001184,5242.56077547866,103774.083209911,103774.083209911,0
"Oaxaca",2009,385689.529,0,385689.529,9299.349,54.669358939221,3780436,17010.1665365028,4499.52506443777,102022.499256699,102022.499256699,0
"Oaxaca",2010,379991.321,0,379991.321,11179.786331,60.317149454053,3809328,18535.004442669,4865.688762603,99752.8490589416,99752.8490589416,0
"Oaxaca",2011,385968,0,385968,12351.626532,63.589748372922,3827077,19423.9273594289,5075.39497099978,100851.903423945,100851.903423945,0
"Oaxaca",2012,386537.7,0,386537.7,13119.623064,69.60994102257,3844967,18847.3411574162,4901.8213049465,100530.823801609,100530.823801609,0
"Oaxaca",2013,397816.027,0,397816.027,14423.718832,66.478515205724,3862864,21696.8125526938,5616.76842692205,102984.735419109,102984.735419109,0
"Oaxaca",2014,395065.139,0,395065.139,16185.623198,72.493758301463,3880510,22326.9196924411,5753.60447272165,101807.530195773,101807.530195773,0
"Oaxaca",2015,401404.011,0,401404.011,16220.345592,78.357980334183,3898281,20700.3109610828,5310.1125755385,102969.49116803,102969.49116803,0
"Oaxaca",2016,399767.903,0,399767.903,17796.428159,78.261149445007,3915946,22739.7991023698,5806.97463712978,102087.184807962,102087.184807962,0
"Oaxaca",2017,358236.419,0,358236.419,19517.300176,93.136611830636,3933847,20955.5617199079,5326.98951431206,91065.1631850451,91065.1631850451,0
"Oaxaca",2018,383159.646,0,383159.646,21536.217224,100,4010535,21536.217224,5369.91130210807,95538.2875352042,95538.2875352042,0
"Oaxaca",2019,367363.646,0,367363.646,22926.360831,104.309004762001,4100042,21979.2729144626,5360.7433568882,89599.971414927,89599.971414927,0
"Oaxaca",2020,350911.405,0,350911.405,22209.574909,110.622428758051,4168314,20076.91854025,4816.55617601025,84185.4536390493,84185.4536390493,0
"Oaxaca",2021,385418.058,0,385418.058,22710.28819,114.19602996391,4220328,19887.1083322049,4712.21865509149,91324.1951810381,91324.1951810381,0
"Oaxaca",2022,415530.954,0,415530.954,31529.215387,123.136331740042,4222400,25605.1280247349,6064.11709566476,98411.0823228496,98411.0823228496,0
"Oaxaca",2023,447312.34,0,447312.34,30779.842932,129.642467051099,4281711,23742.0990452673,5545.00269758219,104470.465194872,104470.465194872,0
"Puebla",2005,621212.047,2051.064,619160.983,11101.495,53.109921578839,5562231,20902.8646060424,3758.00009133788,111683.971233845,111315.222794594,368.748439250366
"Puebla",2006,650292.566,2636.83,647655.736,12897.872,55.245539589945,5611558,23346.4494975219,4160.4220249567,115884.495179414,115414.602504331,469.892675082392
"Puebla",2007,674599.97,1952.803,672647.167,13012.563,57.821387836706,5595379,22504.7572997537,4022.02554996788,120563.766994157,120214.764183088,349.002811069634
